,date,xauusd
256,2014-09-14,1228.2296298116
257,2014-09-15,1233.0856286405
258,2014-09-16,1234.7071540684
259,2014-09-17,1219.6568811825
260,2014-09-18,1225.505246396
261,2014-09-19,1216.2836315005
262,2014-09-20,1216.3304526574
263,2014-09-21,1215.0742106574
264,2014-09-22,1214.9264324998
265,2014-09-23,1222.6589028935
266,2014-09-24,1216.677215683
267,2014-09-25,1221.6893552918
268,2014-09-26,1219.1564516564
269,2014-09-27,1219.2296906814
270,2014-09-28,1216.7004301036
271,2014-09-29,1215.3778726911
272,2014-09-30,1209.0593486846
273,2014-10-01,1213.4757284198
274,2014-10-02,1214.3052605861
275,2014-10-03,1190.7067199518
276,2014-10-04,1190.7100799562
277,2014-10-05,1184.7428811762
278,2014-10-06,1206.4760116814
279,2014-10-07,1209.8687664235
280,2014-10-08,1220.8637366871
281,2014-10-09,1224.0000122025
282,2014-10-10,1223.5135520737
283,2014-10-11,1223.780502729
284,2014-10-12,1229.6493040185
285,2014-10-13,1236.3648720984
286,2014-10-14,1230.6794687153
287,2014-10-15,1240.6326673335
288,2014-10-16,1238.0998108944
289,2014-10-17,1238.5297907806
290,2014-10-18,1238.9501136737
291,2014-10-19,1237.3940481346
292,2014-10-20,1246.6528348484
293,2014-10-21,1248.886004645
294,2014-10-22,1241.6067018723
295,2014-10-23,1232.6196569303
296,2014-10-24,1231.2520927248
297,2014-10-25,1231.3981910761
298,2014-10-26,1228.2522584488
299,2014-10-27,1225.3984679888
300,2014-10-28,1228.1837529227
301,2014-10-29,1211.7413973982
302,2014-10-30,1199.8565694516
303,2014-10-31,1173.8803159586
304,2014-11-01,1173.8604749439
305,2014-11-02,1173.6882566621
306,2014-11-03,1167.9298045093
307,2014-11-04,1168.1480184616
308,2014-11-05,1140.6335010493
309,2014-11-06,1142.3301444128
310,2014-11-07,1178.0323334697
311,2014-11-08,1177.9117979646
312,2014-11-09,1177.9048606244
313,2014-11-10,1150.3566223252
314,2014-11-11,1164.2792580315
315,2014-11-12,1162.8697223819
316,2014-11-13,1162.3147949566
317,2014-11-14,1188.6050163678
318,2014-11-15,1188.9828845914
319,2014-11-16,1188.8839352058
320,2014-11-17,1187.0564644003
321,2014-11-18,1197.496063487
322,2014-11-19,1183.2125668571
323,2014-11-20,1192.3764555279
324,2014-11-21,1201.5826882741
325,2014-11-22,1201.8291840181
326,2014-11-23,1201.8364060284
327,2014-11-24,1198.2974106706
328,2014-11-25,1200.7182975282
329,2014-11-26,1198.542422655
330,2014-11-27,1192.4236479439
331,2014-11-28,1167.0070038884
332,2014-11-29,1166.9905065322
333,2014-11-30,1164.3205607368
334,2014-12-01,1211.5324858795
335,2014-12-02,1198.0761127129
336,2014-12-03,1209.2581322635
337,2014-12-04,1205.8967408577
338,2014-12-05,1192.5965428879
339,2014-12-06,1193.0753904339
340,2014-12-07,1190.2494762902
341,2014-12-08,1203.2085165641
342,2014-12-09,1231.1276196077
343,2014-12-10,1225.8431070652
344,2014-12-11,1227.1992672675
345,2014-12-12,1222.4141864834
346,2014-12-13,1222.5163053112
347,2014-12-14,1222.5387239141
348,2014-12-15,1192.1942734077
349,2014-12-16,1195.2745458282
350,2014-12-17,1185.7758330886
351,2014-12-18,1197.7298324861
352,2014-12-19,1195.1119625789
353,2014-12-20,1194.9929794162
354,2014-12-21,1194.9786995047
355,2014-12-22,1175.8157435498
356,2014-12-23,1174.0952358705
357,2014-12-24,1174.2754114791
358,2014-12-25,1174.7982284043
359,2014-12-26,1195.6358100949
360,2014-12-27,1196.1293255027
361,2014-12-28,1196.1364791723
362,2014-12-29,1183.0512262821
363,2014-12-30,1200.2445777266
364,2014-12-31,1183.3872688665
365,2015-01-01,1184.7264647069
366,2015-01-02,1186.8547259891
367,2015-01-03,1189.2444729863
368,2015-01-04,1189.3364097502
369,2015-01-05,1206.4075747015
370,2015-01-06,1217.0756479543
371,2015-01-07,1211.3126270601
372,2015-01-08,1208.8911185071
373,2015-01-09,1222.6704848251
374,2015-01-10,1222.680727495
375,2015-01-11,1216.604214317
376,2015-01-12,1233.2083149241
377,2015-01-13,1230.2492473856
378,2015-01-14,1229.7573329872
379,2015-01-15,1262.3230059565
380,2015-01-16,1279.9421212148
381,2015-01-17,1280.0081920524
382,2015-01-18,1279.1404176393
383,2015-01-19,1278.0481695604
384,2015-01-20,1293.7724225965
385,2015-01-21,1295.7343932826
386,2015-01-22,1301.8383082939
387,2015-01-23,1294.7341687359
388,2015-01-24,1295.0264509153
389,2015-01-25,1295.0851518487
390,2015-01-26,1281.5499166734
391,2015-01-27,1294.0763004207
392,2015-01-28,1284.1564408119
393,2015-01-29,1257.3547287887
394,2015-01-30,1283.414363611
395,2015-01-31,1283.7217661444
396,2015-02-01,1283.7052869402
397,2015-02-02,1278.32313035
398,2015-02-03,1260.5288289388
